File|Sentence
Biochem_J_2013_May_15_452(Pt_1)_27-36.txt|b'Together, the results of the present study provide a framework to assign structural features to the functional and catalytic properties of the human MAT proteins, and facilitate future studies to probe new catalytic and binding functions.'
Biochem_J_2013_Nov_15_456(Pt_1)_139-146.txt|b'We conclude that cluster N1a does not affect reactive oxygen species production by the complex I flavin, it is probably required for enzyme assembly or stability.'
Biochem_J_2013_Nov_1_455(Pt_3)_295-306.txt|b'The results of the present study suggest that the recently identified extraribosomal chaperonin function of RPS3A also acts on the neurodegeneration-related protein \xce\xb1Syn and reveal a new avenue for identifying promising candidate mammalian proteins involved in \xce\xb1Syn functioning.'
Biochem_J_2013_Oct_15_455(Pt_2)_217-227.txt|b'Taken together, we suggest that Nogo-A is closely involved in the neuronal response to hypoxic and oxidative stress, an observation that may be of relevance not only in stroke-induced ischaemia, but also in neuroblastoma formation.'
Biochem_J_2013_Oct_15_455(Pt_2)_229-237.txt|b'Our results indicate a causative role for ZIP6\xc2\xa0in cell motility and migration, providing ZIP6 as a new target for prediction of clinical cancer spread and also suggesting a ZIP6-dependent mechanism of tumour metastasis.'
Biochem_J_2013_Oct_1_455(Pt_1)_107-118.txt|b'We conclude that EndoS2 is a unique endoglycosidase in serotype M49 and differs from EndoS of other GAS strains by targeting both IgG and AGP.'
Biochem_J_2013_Oct_1_455(Pt_1)_67-73.txt|b'In the present study we report that the N-terminal domain is necessary and sufficient for RNMT recruitment to transcription initiation sites and that recruitment occurs in a DRB (5,6-dichloro-1-\xce\xb2-D-ribofuranosylbenzimidazole)-dependent manner.'
Biochem_J_2013_Oct_1_455(Pt_1)_75-85.txt|b'The results of the present study show that: (i) CYP6Z8 metabolizes PBAlc (3-phenoxybenzoic alcohol) and PBAld (3-phenoxybenzaldehyde), common pyrethroid metabolites produced by carboxylesterases, producing PBA (3-phenoxybenzoic acid), (ii) CYP6Z8 transcription is induced by PBAlc, PBAld and PBA, (iii) An.'
Biochem_J_2013_Sep_15_454(Pt_3)_447-457.txt|b'Instead, in the present study, we show that LRPPRC associates with mitochondria, interacts with Beclin 1 and Bcl-2 and forms a ternary complex to maintain the stability of Bcl-2.'
Biochem_J_2013_Sep_1_454(Pt_2)_181-190.txt|b'In the present study, we show that this enzyme is efficiently secreted from mammalian cells despite the presence of a transmembrane domain.'
Biochem_J_2013_Sep_1_454(Pt_2)_283-293.txt|b'In the present paper we therefore describe novel molecular actions of flavanoids, which control SOCS3 gene induction and suppression of STAT3 signalling in VECs.'
BMC_Cardiovasc_Disord_2005_Sep_27_5_30.txt|b'Conclusion These results suggest that JTT-130 could have potential clinical applications due to its plasma lipid lowering effects with no alterations in hepatic lipid concentrations.'
BMC_Cardiovasc_Disord_2005_Sep_27_5_31.txt|b'The use of fuzzy logic in which more than two possible truth-value assignments are allowed overcomes the trap of probability theory when dealing with uncertain outcomes, thereby making the meaning of a certain prognostic statement easier to understand by the patient.'
BMC_Cardiovasc_Disord_2006_Apr_10_6_15.txt|b'Conclusion Alcohol septal ablation has been proposed as less invasive alternatives to surgery in patients with MVOHC.'
BMC_Cardiovasc_Disord_2006_Apr_11_6_16.txt|b'These findings indicate both mitochondria and xanthine oxidase are the source of ROS in estrogen treated vascular endothelial cells.'
BMC_Cardiovasc_Disord_2006_Apr_12_6_17.txt|b'However, our study showed no intermediate role of human heat shock protein (h-hsp) 60 sero-status in the development of secondary CVD events in patients with CHD.'
BMC_Cardiovasc_Disord_2006_Apr_27_6_18.txt|b'Conclusion Our findings highlight the lack of good level of knowledge of modifiable risk factors for heart disease among subjects admitted with AMI in Pakistan.'
BMC_Cardiovasc_Disord_2006_Apr_4_6_13.txt|b'In addition, the results suggest endothelial cell type specific ALK1 and TGF-\xce\xb2 signalling.'
BMC_Cardiovasc_Disord_2006_Apr_4_6_14.txt|b'Methods ICAM-1: Part I of the study investigates in cytoflow studies the effect of abciximab (0.0002, 0.002, 0.02, 0.2, 2.0, and 20.0 \xce\xbcg/ml) on TNF-\xce\xb1 induced expression of intercellular adhesion molecule 1 (ICAM-1).'
BMC_Cardiovasc_Disord_2006_Aug_17_6_35.txt|b'The objective of this study was to determine whether endothelial dysfunction is independently associated with carotid plaque in a community of northern Manhattan.'
BMC_Cardiovasc_Disord_2006_Aug_2_6_34.txt|b'Conclusion Funnel plots may be applied to a complex dataset and allow visual comparison of data derived from multiple health-care units.'
BMC_Cardiovasc_Disord_2006_Aug_30_6_36.txt|b'Therefore the aim of the present study was to compare DRC in hypertensives treated with combination therapy whose blood pressures (BP) were controlled vers.'
BMC_Cardiovasc_Disord_2006_Aug_31_6_37.txt|b'Results The two-component distribution model was the best-fitting model to describe the distribution of LV mass.'
BMC_Cardiovasc_Disord_2006_Dec_15_6_48.txt|b'Conclusion In conclusion, medication adherence is associated with improved outcomes among patients with diabetes and IHD.'
BMC_Cardiovasc_Disord_2006_Dec_20_6_49.txt|b'Conclusion This study shows that LL-37 is present in atherosclerotic lesions and that it induces death of vascular smooth muscle cells.'
BMC_Cardiovasc_Disord_2006_Dec_4_6_47.txt|b'These findings imply that studies of CXMDJ may reveal not only another causative mechanism of the deep Q-waves but also more information on the pathogenesis in the dystrophin-deficient heart.'
BMC_Cardiovasc_Disord_2006_Feb_21_6_7.txt|b'Our results suggest the need for repeated measures of the ABI in clinical practice, preferably within visits and also over time, before diagnosing peripheral artery disease and before making therapeutic decisions.'
BMC_Cardiovasc_Disord_2006_Feb_9_6_6.txt|b'The objectives of this study were to 1) determine concordance rates with LDL cholesterol and BP recommendations, and 2) identify patient factors, processes and structures of care associated with guideline concordance among VA IHD patients.'
BMC_Cardiovasc_Disord_2006_Jan_10_6_2.txt|b'Conclusion Low type-I% predicts obesity and weight gain especially in the mid-abdomen, and consequently unfavourable LV geometry indicating increased cardiovascular risk.'
BMC_Cardiovasc_Disord_2006_Jan_19_6_3.txt|b'Conclusion Thus, we demonstrate that the lipid-soluble smoke particles, but not nicotine, caused damage to arterial endothelium and reduced the endothelium-dependent dilatation in man and rat.'
BMC_Cardiovasc_Disord_2006_Jan_9_6_1.txt|b'Conclusion The results support the existence of two maxima (at morning and afternoon hours) in MI incidence in the Argentine and Uruguayan population.'
Cell_2007_Apr_20_129(2)_251-262.txt|b'In this Review we provide a synthesis of recent evidence concerning the actions of these hormones on food intake.'
Cell_2007_Dec_28_131(7)_1366-1377.txt|b'The fitted structures as well as mutation of conserved coiled-coil arginines suggest that the coiled-coil domain plays a major role in the extraction of proteins from aggregates, providing conserved residues for key functions in ATP hydrolysis and potentially for substrate interaction.'
