File,Conclusion,Score,Year Published,Citations
Blended Learning as Instructional Model,"From the research results of this blended learning model,  where vocational education applies blended learning, it can  be suggested that it is not only limited to face-to-face and  also  online.",35,2020,15
Creating knowledge and entrepreneurial capacity,"In summary, the results of the present research show that the use of digital methodologies is increasing in education, as we can see in all the study's made in the last three years and that these technologies can enhance the students learning the process with innovations such as mobile technologies, tablets, and smartphones applications.",70,2019,52
Does Information Technology Training Really Matter,"The research models presented in this paper mayserveas a platformfor researchersand practitionersinterestedin training,learn- ing, and it usage.",25,2005,300
Does online learning work better than offline learning in undergraduate medical education_,"Further research  despite some outstanding questions, the findings of this review offer supporting evidence on the effective- ness of online learning in undergraduate medical education.",65,2019,252
Employee Perspectives on MOOCs for Workplace Learning,The first findings of this study suggest that employees in businesses have similar reasons to participate in moocs as students in higher education (berland et al.,70,2017,71
Lee2018_Article_EveryoneAlreadyHasTheirCommuni,"However, when the institutionalized online support finished, he soon felt left alone in his ofﬂine context without any support systems and found it challenging to become a newly independent (or sole) learner.",45,2018,36
Online Education Worldwide Status Challenges Trends and Implications,"Past research reveals that low internet penetration, low public esteem for online learning, and lack of online educational repositories in arabic language are main obstacles to the growth of online education in middle east countries.",55,2018,257
Promoting_Digital_Change_In_Higher_Education_Evalu,"Technology therefore needs to be utilized as a more effective educational tool, particularly in the  creation of course contents and configuration of the learning process.",40,2015,11
"Technology adoption, training and productivity performance","Indeed, we found that ﬁrms that adopt advanced technologies and at the same time provide strategic training are, on average, more productive than other tech-  d. boothby et al.",50,2010,179
Utilization of Virtual Reality in Education of Employees in Slovakia,"This  paper  presented  results  stemming  from  survey  research  conducted  in  slovak  republic  analyzing  current  utilization level of innovative technologies in employee education of organizations with focus on applying virtual   260  8   monika dávideková, michal mjartan, michal greguš/ procedia computer science 00 (2015) 000–000   monika dávideková  et al.",30,2017,50
