File|Sentence
20_Century_Br_Hist_2015_Sep_27_26(3)_450-476.txt|b'The case study of PAIN suggests that small groups have been able to mediate between \xe2\x80\x98public\xe2\x80\x99 and \xe2\x80\x98experts\xe2\x80\x99, effectively working with both groups because of their ability to combine experience and professionalism.'
3_Biotech_2016_Dec_13_6(1)_58.txt|b'This results showed that it is possible to introduce NOTCH1 expression as a novel biomarker of IDC, alone or preferably accompanied by IHC of p53.'
AAPS_J_2016_Jan_28_18(2)_465-475.txt|b'Our data demonstrate that human-derived ciPTEC-OAT1 and ciPTEC-OAT3 are promising platforms for highly predictive drug screening during early phases of drug development.'
Acta_Biomater_2015_Jun_19_149-157.txt|b'Here, we show for the first time the recrystallization of the wild-type S-layer glycoprotein wtSgsE from Geobacillus stearothermophilus NRS 2004/3a and its recombinantly produced non-glycosylated form, rSgsE, on gold sensor surfaces.'
Adapt_Behav_2016_Oct_12_24(5)_267-291.txt|b'Our results indicate that pleasure, including pleasure unrelated to need satisfaction, has value for homeostatic management in terms of improved viability and increased flexibility in adaptive behavior.'
Aging_Cell_2012_Aug_11(4)_694-703.txt|b'In this study on 230 monozygotic twin pairs (MZ pairs), aged 18\xe2\x80\x9389 years, we investigated the occurrence of epigenetic changes over the adult lifespan.'
AIMS_Public_Health_2015_Dec_2_2(4)_762-783.txt|b'Conclusion Findings suggest that predictive characteristics vary according to diverter group.'
Alzheimers_Dement_2013_Nov_9(6)_649-656.txt|b'Conclusions We found a strong gradient effect in the direct association between dementia severity and reported weight loss, homogeneous across sites from eight countries, consistent with mechanistic data on the role of neurodegenerative processes on energy balance and with dietary changes due to disease severity.'
Am_J_Med_2015_Feb_128(2)_152-160_e4.txt|b'Conclusions These data suggest that maintaining and improving adherence to healthy dietary recommendations may reduce the risk of long-term inflammation.'
Ann_Hum_Genet_2016_May_22_80(3)_187-196.txt|b'We also suggest designing a single nucleotide variant (SNV) array to make the process more efficient.'
Ann_Oncol_2016_Oct_8_27(10)_1959-1965.txt|b'Conclusion We show that cfDNA can reveal tumour evolution and subclonal responses to therapy even when biopsies are not available.'
Anthropol_Forum_2016_Apr_2_26(2)_1382-154.txt|b'In the context of the Thai food retail transition, we propose that trust affects relationships between consumers and (1) individual fresh market-based vendors, (2) the food products sold at fresh markets and (3) the food retail system more broadly.'
Anticancer_Drugs_2016_Mar_1_27(3)_216-224.txt|b'Our data provide experimental support for metronomic VRL by showing that a protracted low dose outperforms pulsed high-dose administration in inducing antiangiogenic effects in proliferating human endothelial cells.'
Appl_Phys_B_2015_Jul_28_120(4)_609-615.txt|b'Also presented here are preliminary retrieval analysis and the performance analysis that demonstrate that the Mini-LHR responds extremely well to changes in the atmospheric absorption.'
Arch_Microbiol_2016_Jun_23_198(10)_987-993.txt|b'In addition, we show that Acidobacteria strains produce exopolysaccharide which supports the adhesion of bacteria to the root surfaces.'
Arterioscler_Thromb_Vasc_Biol_2016_Jun_25_36(6)_1174-1185.txt|b'Moreover, ApoE\xe2\x88\x92/\xe2\x88\x92 mice showed increased germinal center B cells in renal lymph nodes, IgM-producing plasma cells in the bone marrow, and higher IgM and anti\xe2\x80\x93MDA-LDL (malondialdehyde-modified low-density lipoprotein) IgG serum titers.'
Austral_Ecol_2015_Apr_25_40(2)_151-159.txt|b'Above-ground living biomass (AGLB) of trees averaged 210.72 Mg\xe2\x80\x89\xe2\x80\x89ha\xe2\x88\x921 at Wanang.'
Behav_Brain_Funct_2005_Apr_22_1_4.txt|b'Results Comparisons between responses to speech and silence revealed strong responses throughout the extent of superior temporal gyrus (STG) bilaterally.'
Behav_Brain_Funct_2014_Mar_19_10_9.txt|b'Results As predicted, the results indicated that short-term (30\xc2\xa0min per day for 7\xc2\xa0days) IBMT improved creativity performance on the divergent thinking task, and yielded better emotional regulation than RT.'
Behav_Processes_2016_Jan_122_36-42.txt|b'The results demonstrate that the strength of blocking in mice is dependent on the modality and experience of the blocking cue.'
Biol_Open_2013_Jun_3_2(8)_845-854.txt|b'Our data support a dynamic model in which deep cells during epiboly migrate into space opening between the EVL and the yolk syncytial layer.'
Biomed_Rep_2014_May_12_2(3)_349-353.txt|b'As evaluated with immunofluorescence microscopy, heptanol was able to partly reverse the downregulation of connexin 43 (Cx43) induced by ischemia.'
Biomed_Rep_2015_Nov_24_3(6)_787-791.txt|b'The results suggest that the consumption of FPP is beneficial for the colonic luminal environment in rats fed a high-fat diet.'
Biomed_Spectrosc_Imaging_2013_2(4)_301-315.txt|b'As a result of the bright synchrotron infrared photon source coupling, we were able to provide significant molecular evidence for a positive correlation between protein glycation and collagen degradation in our mouse model.'
Biophys_Chem_2016_Nov_218_42-46.txt|b'We show that when we consider both lysine and arginine AGEs, they exhibit a prevalence to form within the gap region of the collagen fibril.'
Biotechnol_J_2012_Mar_11_7(3)_354-360.txt|b'Here, we show that the large subunit protein L29, which forms part of the exit tunnel in Escherichia coli, is required for the productive synthesis of an array of structurally diverse recombinant proteins including the green fluorescent protein (GFP) and an intracellular single-chain Fv antibody.'
Biotechnol_J_2016_Apr_29_11(4)_473-486.txt|b'We systematically evaluated 13 microcarriers for human bone marrow\xe2\x80\x90derived MSC (hBM\xe2\x80\x90MSCs) expansion from three donors to establish a reproducible and transferable methodology for microcarrier selection.'
BMC_Blood_Disord_2005_Jul_25_5_5.txt|b'Conclusion We conclude that there is a significant inverse relationship of total blood lymphocyte counts and severity of iron overload in hemochromatosis probands with HFE C282Y homozygosity.'
BMC_Microbiol_2016_Sep_29_16_226.txt|b'Results We showed that both the pre-treatment with S-CWF and the co- treatment of S-CWF with the pathogen protected the cells from F4+ETEC induced TJ and AJ injury, increased membrane permeability and activation of NF-kB expression.'
BMC_Nucl_Med_2006_Feb_17_6_1.txt|b'Conclusion Our study suggests that multiple perfusion abnormalities with different levels of severity are common in cardiac syndrome X, with more than 30 % of these patients having at least one abnormal perfusion segment.'
BMC_Obes_2015_Sep_16_2_33.txt|b'These findings may imply the need for changes to enable parents to maintain healthy lifestyles for their children in the face of wider obesogenic influences.'
BMC_Psychiatry_2004_Nov_4_4_37.txt|b'This study provides overall rates of total and specific psychiatric disorders in suicide completers and presents evidence supporting gender and geographic differences in their relative proportion.'
Brain_Res_2009_Jan_9_1247_221-234.txt|b'We show that a simple point neuron receiving convergent inputs from high-spontaneous rate auditory nerve (AN) fibers, with no special currents and no peri-stimulatory shifts in firing threshold, is sufficient to produce much of the diversity seen experimentally.'
Breastfeed_Med_2016_Apr_1_11(3)_133-137.txt|b'Results: We enrolled 75 infants (Control n\xe2\x80\x89=\xe2\x80\x8937, Cream n\xe2\x80\x89=\xe2\x80\x8938) with gestational age 27.7\xe2\x80\x89\xc2\xb1\xe2\x80\x891.8 weeks and birth weight 973\xe2\x80\x89\xc2\xb1\xe2\x80\x89145\xe2\x80\x89g (mean \xc2\xb1 SD).'
Bull_Volcanol_2015_Sep_7_77(10)_85.txt|b'Analysis of ground deformation suggests the eruption was fed by a shallow, NW\xe2\x80\x93SE-trending dike, which is consistent with field and satellite observations of vent distributions.'
Cancer_2012_Nov_1_118(21)_5210-5216.txt|b'\xe2\x80\x9cElective\xe2\x80\x9d patients did not meet the high-risk criteria, but underwent LR testing as ordered by the referring health care provider.'
Cancer_2014_Dec_15_120(24)_3896-3901.txt|b'Most interestingly, the results of the current study demonstrated that monitoring the EGFR mutations in the blood allows for the detection of the T790M mutation up to 344 days before disease progression is clinically evident (range, 15-344 days).'
