File|Sentence
20_Century_Br_Hist_2015_Sep_27_26(3)_450-476.txt|b'The case study of PAIN suggests that small groups have been able to mediate between \xe2\x80\x98public\xe2\x80\x99 and \xe2\x80\x98experts\xe2\x80\x99, effectively working with both groups because of their ability to combine experience and professionalism.'
3_Biotech_2016_Dec_13_6(1)_58.txt|b'This results showed that it is possible to introduce NOTCH1 expression as a novel biomarker of IDC, alone or preferably accompanied by IHC of p53.'
AAPS_J_2016_Jan_28_18(2)_465-475.txt|b'Our data demonstrate that human-derived ciPTEC-OAT1 and ciPTEC-OAT3 are promising platforms for highly predictive drug screening during early phases of drug development.'
Acta_Biomater_2015_Jun_19_149-157.txt|b'Here, we show for the first time the recrystallization of the wild-type S-layer glycoprotein wtSgsE from Geobacillus stearothermophilus NRS 2004/3a and its recombinantly produced non-glycosylated form, rSgsE, on gold sensor surfaces.'
Adapt_Behav_2016_Oct_12_24(5)_267-291.txt|b'Our results indicate that pleasure, including pleasure unrelated to need satisfaction, has value for homeostatic management in terms of improved viability and increased flexibility in adaptive behavior.'
Aging_Cell_2012_Aug_11(4)_694-703.txt|b'In this study on 230 monozygotic twin pairs (MZ pairs), aged 18\xe2\x80\x9389 years, we investigated the occurrence of epigenetic changes over the adult lifespan.'
AIMS_Public_Health_2015_Dec_2_2(4)_762-783.txt|b'Conclusion Findings suggest that predictive characteristics vary according to diverter group.'
Alzheimers_Dement_2013_Nov_9(6)_649-656.txt|b'Conclusions We found a strong gradient effect in the direct association between dementia severity and reported weight loss, homogeneous across sites from eight countries, consistent with mechanistic data on the role of neurodegenerative processes on energy balance and with dietary changes due to disease severity.'
Am_J_Med_2015_Feb_128(2)_152-160_e4.txt|b'Conclusions These data suggest that maintaining and improving adherence to healthy dietary recommendations may reduce the risk of long-term inflammation.'
Ann_Hum_Genet_2016_May_22_80(3)_187-196.txt|b'We also suggest designing a single nucleotide variant (SNV) array to make the process more efficient.'
Ann_Oncol_2016_Oct_8_27(10)_1959-1965.txt|b'Conclusion We show that cfDNA can reveal tumour evolution and subclonal responses to therapy even when biopsies are not available.'
Anthropol_Forum_2016_Apr_2_26(2)_1382-154.txt|b'In the context of the Thai food retail transition, we propose that trust affects relationships between consumers and (1) individual fresh market-based vendors, (2) the food products sold at fresh markets and (3) the food retail system more broadly.'
Anticancer_Drugs_2016_Mar_1_27(3)_216-224.txt|b'Our data provide experimental support for metronomic VRL by showing that a protracted low dose outperforms pulsed high-dose administration in inducing antiangiogenic effects in proliferating human endothelial cells.'
Appl_Phys_B_2015_Jul_28_120(4)_609-615.txt|b'Also presented here are preliminary retrieval analysis and the performance analysis that demonstrate that the Mini-LHR responds extremely well to changes in the atmospheric absorption.'
